Locus outliers:  3.154466e-05 (2.073481e-08,0.0001247333)...
Population outliers:  2.803553e-05 (2.802135e-08,0.0001107993)...
  ALC[1]: 9.855677e-05  7.086519
  ANY[2]: 5.364506e-05  47.74898
  BAN[3]: 5.788541e-05  51.48613
  BAV[4]: 6.011835e-05  30.02612
  BRD[5]: 4.666978e-05  43.29043
  CDB[6]: 6.073837e-05  50.10712
  CER[7]: 4.323777e-05  37.25811
  GAR[8]: 5.706526e-05  53.23782
  KAR[9]: 2.932586e-05  17.39488
  KLM[10]: 4.314511e-05  37.23433
  KSW[11]: 6.162536e-05  13.1694
  LOE[12]: 6.861662e-05  10.80122
  MGU[13]: 7.409906e-05  6.653747
  POT[14]: 4.445255e-05  41.19162
  RIV[15]: 3.998698e-05  34.24775
  RND[16]: 6.046172e-05  34.53918
  SWA[17]: 4.388755e-05  39.7523
  UNI[18]: 9.208196e-05  5.628058
