long,lat,NAME,position code
26.09839,-33.24081,ALC,19
20.70409,-33.49369,ANY,11
18.64454,-32.72662,BAN,3
23.63356,-33.49336,BAV,16
20.0386,-34.54593,BRD,9
19.10676,-32.4064,CDB,2
19.276,-33.36542,CER,5
21.21982,-33.96789,GAR,13
24.07328,-33.87468,KAR,17
19.03363,-34.33109,KLM,6
21.28479,-33.45617,KSW,12
25.0423,-33.85452,LOE,18
20.10137,-33.7839,MGU,7
20.60545,-34.41555,POT,10
18.55111,-33.51604,RIV,4
19.99314,-34.10228,RND,8
22.04591,-33.34953,SWA,14
23.05253,-33.72581,UNI,15
19.0225,-31.37083,VAN,1
