Locus outliers:  0.06533062 (0.06218895,0.06844747)...
  TP154[4]: 0.2097336  5.988904
  TP178[5]: 0.1293443  4.202576
  TP298[13]: 0.001376126  36.46935
  TP693[24]: 0.1546634  8.360424
  TP709[26]: 0.01208703  4.105336
  TP802[27]: 0.1571464  7.923965
  TP2565[81]: 0.002273171  18.75992
  TP4454[115]: 0.08770032  4.361263
  TP4902[127]: 0.1682067  8.558748
  TP5360[135]: 0.1240375  5.374562
  TP5509[137]: 0.1490317  6.63144
  TP5769[144]: 0.1713011  5.964166
  TP6426[159]: 0.1591638  7.783583
  TP6581[164]: 0.1274095  4.025732
  TP6730[171]: 0.009156085  6.808445
  TP6823[176]: 0.1163131  8.685886
  TP6843[178]: 0.1228942  6.318687
  TP7495[204]: 0.128897  4.416559
  TP7591[208]: 0.2429186  14.49315
  TP9131[239]: 0.01379069  4.700608
  TP9148[240]: 0.01205132  4.713346
  TP9400[243]: 0.01167665  4.754513
  TP9775[248]: 0.1424956  4.264059
  TP13397[274]: 0.1516085  10.79893
  TP13737[281]: 0.1790677  4.046461
  TP14233[288]: 0.1913375  9.349235
  TP14803[303]: 0.002185042  28.64798
  TP14904[308]: 0.01128531  4.139998
  TP15853[329]: 0.1950674  5.124047
  TP16421[342]: 0.1673043  9.890363
  TP18208[371]: 0.1316328  6.447051
  TP18913[380]: 0.2340572  7.233831
  TP18922[381]: 0.1569953  7.551131
  TP19212[387]: 0.1673615  4.923326
  TP19323[391]: 0.01231843  3.923629
  TP19861[401]: 0.1421378  8.361584
  TP20558[406]: 0.0004718591  81.03868
  TP21686[428]: 0.1012271  5.473926
  TP21933[433]: 0.1387535  7.756204
  TP22338[448]: 0.1742351  5.58108
  TP22428[453]: 0.1556902  4.379501
  TP22611[454]: 0.2292232  9.134842
  TP22651[458]: 0.114059  4.130785
  TP23117[470]: 0.00286533  20.89683
  TP23148[473]: 0.134432  6.204581
  TP23221[476]: 0.2299757  8.792023
  TP23301[480]: 0.007905773  6.803167
  TP23393[482]: 0.007483419  7.678869
  TP23742[489]: 0.1451604  4.045262
  TP24385[503]: 0.1809449  9.081112
  TP25634[520]: 0.1241447  4.040096
  TP25826[526]: 0.2047531  5.348186
  TP26219[533]: 0.1828399  5.768615
  TP27681[556]: 0.1474883  7.512194
  TP27702[559]: 0.09612136  5.282571
  TP28028[566]: 0.1665334  5.657826
  TP28291[573]: 0.01518686  4.829251
  TP28347[577]: 0.001295693  39.49437
  TP28433[583]: 0.1219537  4.531103
  TP28452[585]: 0.2097115  9.099297
  TP28894[598]: 0.1268743  6.718072
  TP29470[617]: 0.0006855795  51.99513
  TP29519[620]: 0.1295894  4.108154
  TP29687[625]: 0.171764  6.70523
  TP30136[642]: 0.2251911  11.30153
  TP30389[651]: 0.01217835  5.228635
  TP30865[667]: 0.006349283  10.06605
  TP30921[669]: 0.1558846  9.110745
  TP32829[711]: 0.0006627875  67.90722
  TP34609[730]: 0.197164  7.325254
  TP35474[736]: 0.1437855  6.333439
  TP35897[739]: 0.01356063  4.576969
  TP37077[758]: 0.2342996  10.57346
  TP37899[765]: 0.008160494  6.106402
  TP38296[768]: 0.1353372  4.763399
  TP39467[777]: 0.007984071  6.23705
  TP39929[779]: 0.0116569  5.695701
  TP40689[782]: 0.001753435  29.81069
  TP41851[801]: 0.2181178  9.157818
  TP41983[804]: 0.141512  8.616087
  TP42220[806]: 0.2062607  8.454777
  TP42461[811]: 0.0003222934  104.7816
  TP42729[814]: 0.009302779  5.428643
  TP42768[816]: 0.08524546  3.95903
  TP44050[837]: 0.1839171  13.10424
  TP44461[846]: 0.000340516  109.998
  TP44613[852]: 0.1120694  4.383762
  TP44901[856]: 0.1004118  4.343137
  TP45000[857]: 0.01489156  3.945311
  TP45274[864]: 0.2039391  7.593362
  TP45308[866]: 0.2287241  8.154398
  TP45330[868]: 0.01061511  4.196151
  TP45380[871]: 0.1180874  4.545032
  TP45567[877]: 0.01244789  4.207901
  TP45722[881]: 0.20845  14.21084
  TP47290[901]: 0.1870683  4.490715
  TP47427[906]: 0.1879568  13.71385
  TP47589[913]: 0.1135966  4.713026
  TP47613[915]: 0.2141818  6.097892
  TP48203[926]: 0.0005089735  81.06698
  TP49248[937]: 0.006082212  7.63404
  TP49533[941]: 0.2018638  10.27565
  TP50046[945]: 0.1384766  5.072489
  TP50122[946]: 0.08811216  4.47591
  TP53109[975]: 0.1744603  5.835125
  TP53294[978]: 0.2275601  15.39948
  TP53432[981]: 0.01379963  4.276854
  TP54006[990]: 0.08584201  4.411622
  TP58225[1007]: 0.1450923  4.51824
  TP58501[1009]: 0.1398834  8.342847
  TP61016[1024]: 0.228735  9.309993
  TP61348[1028]: 0.01615405  4.221709
  TP61998[1041]: 0.21227  8.09367
  TP62086[1044]: 0.1370741  4.88302
  TP62133[1046]: 0.004897705  12.44616
  TP62172[1048]: 0.0005939345  73.40318
  TP62532[1052]: 0.1955789  6.870694
  TP62868[1055]: 0.00057481  75.04523
  TP62888[1056]: 0.1921068  12.12062
  TP63050[1061]: 0.2050285  7.57944
  TP63464[1065]: 0.1388598  4.434118
  TP64560[1070]: 0.2172161  10.04359
  TP65437[1084]: 0.01157921  4.993877
  TP65775[1085]: 0.1523809  4.889536
  TP66072[1091]: 0.1972926  6.431308
  TP66281[1093]: 0.2384362  19.3741
  TP66681[1103]: 0.1615055  7.63491
  TP68029[1114]: 0.006819515  7.653537
  TP68336[1117]: 0.1482493  7.444438
  TP69147[1126]: 0.1280468  6.408915
  TP69218[1128]: 0.01186347  4.614184
  TP69911[1142]: 0.1025221  4.096517
  TP70581[1154]: 0.1431758  4.297497
  TP71720[1171]: 0.007961348  6.488829
  TP71731[1172]: 0.1326016  8.097914
  TP71911[1176]: 0.1387953  4.549472
  TP72018[1181]: 0.1652329  3.966957
  TP72084[1182]: 0.1124404  5.837992
  TP72455[1196]: 0.01611863  4.43174
  TP72790[1203]: 0.09610091  6.013155
  TP73795[1212]: 0.2005263  14.56035
  TP74105[1215]: 0.1480627  5.764026
  TP74262[1223]: 0.001250423  41.70201
  TP76679[1248]: 0.1761627  6.035184
  TP76683[1249]: 0.1932282  7.963709
  TP77213[1256]: 0.009391328  4.59809
  TP78175[1264]: 0.1006051  4.432598
  TP78188[1265]: 0.0003561271  109.1434
  TP78403[1269]: 0.008966423  6.242289
  TP79076[1280]: 0.1609098  4.703091
  TP79352[1284]: 0.0007840039  64.45667
  TP79546[1288]: 0.1368689  4.361773
  TP80387[1302]: 0.2404994  15.99891
  TP81315[1316]: 0.1281797  4.841518
  TP86001[1331]: 0.1244226  5.351627
  TP86141[1335]: 0.244692  7.554858
  TP86274[1337]: 0.001743725  32.23336
  TP90434[1353]: 0.2339982  11.49486
  TP90670[1354]: 0.0003240668  104.1623
  TP92207[1373]: 0.00227377  25.21883
  TP92776[1382]: 0.0003682115  94.04268
  TP92784[1383]: 0.001442481  31.43665
  TP92890[1385]: 0.1499238  6.146997
  TP93601[1403]: 0.1093105  4.552717
  TP94094[1410]: 0.1418308  4.013269
  TP94446[1415]: 0.1647572  6.925158
  TP96215[1431]: 0.1004066  3.913019
  TP96827[1439]: 0.01817132  4.614504
  TP97002[1443]: 0.01037547  7.164391
  TP97877[1454]: 0.121229  6.506201
  TP97987[1458]: 0.09533848  4.166313
  TP98026[1460]: 0.2046586  14.52944
  TP98249[1463]: 0.001505265  40.29592
  TP99119[1472]: 0.1631733  4.305048
  TP99279[1473]: 0.2446266  17.75102
  TP99424[1479]: 0.1470295  4.954142
  TP101550[1500]: 0.1625677  7.653332
  TP101820[1502]: 0.009103651  5.484089
  TP102333[1508]: 0.01422002  4.295955
  TP102341[1509]: 0.09636725  4.38611
  TP102527[1513]: 0.12074  5.956204
  TP103934[1520]: 0.1116559  4.029842
  TP104317[1527]: 0.02151691  3.951656
  TP104628[1529]: 0.1393639  7.296519
  TP105025[1540]: 0.00696346  7.298199
  TP105082[1541]: 0.001297301  38.68606
  TP105517[1547]: 0.01813024  3.969511
  TP106218[1563]: 0.09436518  3.965507
  TP106226[1565]: 0.0005336538  71.44443
  TP106421[1573]: 0.1882829  9.917766
  TP106423[1574]: 0.1462203  5.3699
  TP106487[1581]: 0.1421842  5.370558
  TP106731[1587]: 0.1043595  5.768335
  TP106808[1592]: 0.01103248  4.33219
  TP107186[1602]: 0.1867359  10.20163
  TP107352[1607]: 0.19174  5.450634
  TP109135[1628]: 0.004246857  11.25466
  TP109586[1649]: 0.003490628  17.90432
  TP109899[1655]: 0.1946932  10.53903
  TP110229[1659]: 0.0009820445  56.51827
  TP110396[1663]: 0.1294257  7.741248
  TP110505[1665]: 0.00871849  8.489202
  TP110755[1672]: 0.176114  7.654199
  TP110946[1677]: 0.193577  8.799737
  TP111123[1680]: 0.007198661  6.184439
  TP112407[1693]: 0.1576484  4.289232
  TP112752[1699]: 0.1566096  4.327993
  TP112977[1703]: 0.01207509  4.929135
  TP113209[1707]: 0.005488407  10.67752
  TP113298[1710]: 0.1797401  6.721225
  TP113314[1711]: 0.1320297  4.753904
  TP113774[1720]: 0.1338835  7.631368
  TP113805[1722]: 0.009227309  5.749052
  TP114060[1725]: 0.2186557  20.83235
  TP115089[1734]: 0.2168233  8.755073
  TP116059[1738]: 0.1633396  5.644369
  TP116359[1742]: 0.1880959  4.952464
  TP116492[1745]: 0.008571651  5.49952
  TP116722[1747]: 0.301904  16.13984
  TP116803[1749]: 0.0183184  4.699246
  TP117236[1759]: 0.1933011  6.619316
  TP117534[1765]: 0.07577307  4.062253
  TP117796[1774]: 0.1078608  4.443135
  TP118096[1786]: 0.1899877  9.907621
  TP118250[1788]: 0.01312642  4.271999
  TP118592[1798]: 0.120952  7.624919
  TP120305[1828]: 0.1192909  4.413099
  TP120386[1829]: 0.1702935  5.087942
  TP120430[1830]: 0.1277712  5.504058
  TP121069[1837]: 0.2269541  10.74885
  TP121320[1842]: 0.008926536  7.72875
  TP121570[1845]: 0.00931307  4.9712
  TP122029[1853]: 0.01077937  4.978837
  TP122785[1862]: 0.1205653  4.011864
  TP123151[1868]: 0.2119329  19.96035
  TP123468[1871]: 0.000538682  70.32592
  TP123715[1876]: 0.1026348  4.230639
  TP123896[1878]: 0.1466888  4.409475
  TP123991[1882]: 0.1528391  11.71948
  TP124442[1893]: 0.009724807  5.452642
  TP124653[1900]: 0.2082545  19.83154
  TP124791[1904]: 0.1739971  4.186481
  TP124934[1906]: 0.009788176  5.109713
  TP125503[1921]: 0.1350494  6.914539
  TP125588[1924]: 0.005856364  12.26635
  TP125628[1927]: 0.1046648  4.304381
  TP125676[1930]: 0.1773544  5.590813
  TP125769[1931]: 0.0003582489  94.44029
  TP126325[1945]: 0.00106186  41.6074
  TP126833[1948]: 0.14843  6.164616
  TP126841[1949]: 0.1417095  4.238292
  TP126842[1950]: 0.1744297  5.421126
  TP127094[1956]: 0.01527996  5.364262
  TP127239[1961]: 0.1753485  4.572776
  TP127250[1962]: 0.1065462  4.33334
  TP127290[1964]: 0.0008208383  58.98272
  TP127382[1966]: 0.0142304  4.071382
  TP128411[1986]: 0.01509266  4.796678
