Locus outliers:  0.04272658 (0.006460833,0.05005066)...
  TP74223[1]: 0.003016241  11.51817
  TP34326[2]: 0.0008582417  29.53142
  TP35812[5]: 0.0009537259  29.76333
  TP94139[6]: 0.0829344  4.101811
  TP62603[7]: 0.001003462  29.57684
  TP100427[10]: 0.001123844  25.57289
  TP104459[11]: 0.001748982  16.572
  TP98618[13]: 0.001260342  21.11958
  TP102496[14]: 0.1019612  6.254638
  TP73045[16]: 0.0007991321  36.47265
  TP90361[18]: 0.1194804  5.782335
  TP275[19]: 0.002157317  15.37317
  TP101619[21]: 0.001493814  20.75201
  TP74637[23]: 0.0009885962  28.95428
  TP23388[55]: 0.09497446  5.703981
  TP88377[56]: 0.001948451  17.08474
  TP15616[60]: 0.1056903  6.898027
  TP78923[62]: 0.002284744  13.26805
  TP89853[63]: 0.09703  5.735069
  TP80356[75]: 0.09550583  5.257681
  TP20711[93]: 0.09138866  4.455112
  TP37451[94]: 0.09345047  5.101359
  TP63622[113]: 0.001929478  18.04644
  TP69270[114]: 0.114423  8.263578
  TP57885[126]: 0.09532069  4.139544
  TP65067[131]: 0.08610601  4.528146
  TP50113[142]: 0.08681002  4.969953
  TP94503[153]: 0.09333236  4.104826
  TP18498[164]: 0.002720881  11.07878
  TP103486[181]: 0.0876509  4.471346
  TP86904[195]: 0.09024694  4.331654
  TP85264[212]: 0.1383208  9.957683
  TP100164[234]: 0.1032026  4.959814
  TP100853[235]: 0.002665324  11.79725
  TP6090[239]: 0.1183325  8.714559
  TP11459[240]: 0.1704182  13.54095
  TP11810[241]: 0.003483583  9.838379
  TP18403[245]: 0.104121  7.067472
  TP34835[249]: 0.08782646  4.504923
  TP101261[257]: 0.1145882  5.252231
  TP103651[259]: 0.08676491  4.473922
  TP17638[262]: 0.09265706  5.195919
  TP28928[278]: 0.06785611  4.97531
  TP63291[285]: 0.1533154  8.618141
  TP88914[289]: 0.1858457  15.60817
  TP20253[299]: 0.1051167  5.25217
  TP78738[311]: 0.08220674  3.999281
  TP85914[312]: 0.1662818  13.66023
  TP100297[315]: 0.1026914  9.135982
  TP49601[326]: 0.09745849  5.136612
  TP96255[338]: 0.1165116  9.868969
  TP19008[345]: 0.1316677  6.707877
  TP22675[346]: 0.1258488  9.58642
  TP88496[356]: 0.1137473  10.86278
  TP11869[361]: 0.1319358  7.280613
  TP22972[362]: 0.08309857  4.579784
  TP49992[368]: 0.001311859  18.99252
  TP51199[369]: 0.1313197  8.033753
  TP22679[384]: 0.1691353  12.0361
  TP104093[400]: 0.1042323  6.108781
  TP57649[452]: 0.1118577  6.803037
  TP103198[460]: 0.1029086  5.090782
  TP95633[475]: 0.07321631  5.047478
  TP100715[476]: 0.08080389  5.660053
  TP26285[481]: 0.09832814  4.791999
  TP63663[484]: 0.1179882  7.285308
  TP84382[485]: 0.003604257  9.540263
  TP26006[492]: 0.1090517  4.480332
  TP50536[495]: 0.002608044  12.45853
  TP58356[496]: 0.08706561  8.803348
  TP82260[499]: 0.1045734  7.177566
Population outliers:  0.006517358 (6.856941e-05,0.01840789)...
  ALC[1]: 0.1038333  535.0288
  ANY[2]: 0.0002292886  21.72659
  BAN[3]: 0.02036548  10.40969
  BAV[4]: 0.02168753  34.124
  BRD[5]: 0.0007818274  3.967184
  CDB[6]: 0.0009105337  3.306944
  GAR[8]: 0.04071934  153.8581
  KAR[9]: 0.01214187  6.728657
  KSW[11]: 0.03582831  86.59369
  MGU[13]: 0.0005817392  7.912465
  POT[14]: 0.0005292692  8.533677
  RND[16]: 0.001002094  2.808284
  VAN[19]: 0.0008138904  4.754544
